taglank,plats,plandatumtid,train_type
202404097743,Sparreholm,2024-04-10 06:21:00,GT
202404097743,Nyckelsjön,2024-04-10 06:22:00,GT
202404097743,Stjärnhov,2024-04-10 06:30:00,GT
202404097743,Stjärnhov,2024-04-10 06:50:00,GT
202404097743,Björnlunda,2024-04-10 06:59:00,GT
202404097743,Kolke,2024-04-10 07:01:00,GT
202404097743,Gnesta,2024-04-10 07:05:00,GT
202404097743,Mölnbo,2024-04-10 07:09:00,GT
202404097743,Järna,2024-04-10 07:18:00,GT
202404097743,Järna,2024-04-10 07:24:00,GT
202404097966,Göteborg Skandiahamnen,2024-04-10 06:05:00,GT
202404097966,Pölsebo,2024-04-10 06:13:00,GT
202404097966,Göteborg Lindholmen,2024-04-10 06:17:00,GT
202404097966,Göteborg Kville,2024-04-10 06:25:00,GT
202404097966,Olskroken,2024-04-10 06:30:00,GT
202404098049,Hallsbergs pbg,2024-04-10 10:37:00,GT
202404098049,Hallsbergs pbg,2024-04-10 10:40:00,GT
202404098049,Hallsbergs rangerbangård,2024-04-10 10:50:00,GT
20240409815,Flen,2024-04-10 05:04:00,GT
202404099941,Hallsbergs pbg,2024-04-10 22:32:00,GT
202404099941,Hallsbergs pbg,2024-04-10 22:35:00,GT
202404099941,Hallsbergs rangerbangård,2024-04-10 22:41:00,GT
2024041010595,Järna,2024-04-10 20:39:00,GT
202404101337,Hallsbergs pbg,2024-04-10 17:54:00,GT
202404101337,Hallsbergs rangerbangård,2024-04-10 18:01:00,GT
202404101337,Hallsbergs rangerbangård,2024-04-10 18:09:00,GT
202404101343,Katrineholms c,2024-04-11 03:27:00,GT
202404101343,Stolpstugan,2024-04-11 03:31:00,GT
202404101343,Sköldinge,2024-04-11 03:35:00,GT
202404101343,Flen,2024-04-11 03:41:00,GT
202404101347,Katrineholms c,2024-04-11 00:13:00,GT
202404101347,Stolpstugan,2024-04-11 00:19:00,GT
202404101347,Sköldinge,2024-04-11 00:24:00,GT
202404101347,Flen,2024-04-11 00:30:00,GT
202404101348,Flen,2024-04-10 14:31:00,GT
202404101348,Sköldinge,2024-04-10 14:37:00,GT
202404101348,Stolpstugan,2024-04-10 14:41:00,GT
202404101348,Katrineholms c,2024-04-10 14:46:00,GT
202404101350,Hallsbergs pbg,2024-04-10 22:52:00,GT
202404101350,Hallsbergs rangerbangård,2024-04-10 22:56:00,GT
202404101354,Flen,2024-04-10 22:06:00,GT
202404101354,Sköldinge,2024-04-10 22:12:00,GT
202404101354,Stolpstugan,2024-04-10 22:16:00,GT
202404101354,Katrineholms c,2024-04-10 22:21:00,GT
202404101355,Hallsbergs rangerbangård,2024-04-10 06:38:00,GT
202404101355,Hallsbergs pbg,2024-04-10 06:40:00,GT
2024041013555,Falköpings c,2024-04-10 08:24:00,GT
2024041013555,Falköpings norra,2024-04-10 08:28:00,GT
2024041013555,Stenstorp,2024-04-10 08:38:00,GT
2024041013555,Regumatorp,2024-04-10 08:44:00,GT
2024041013555,Regumatorp,2024-04-10 09:24:00,GT
2024041013555,Skövde c,2024-04-10 09:32:00,GT
2024041013555,Väring,2024-04-10 09:43:00,GT
