taglank,tagnr,direction,departure_time,arrival_time,stations
202401018396,59410,TO_SODERTALJE,2024-01-02 00:00:00,2024-01-02 04:47:00,59
202401028312,59411,FROM_SODERTALJE,2024-01-02 11:18:00,2024-01-02 17:36:00,66
